"variable"	"cell_area"	"Expected.genome.size"	"Expected_ploidy"
"279"	"yHRWh39"	65.085	136	"12N"
"280"	"yHRWh39"	76.601	136	"12N"
"281"	"yHRWh39"	25.49	136	"12N"
"282"	"yHRWh39"	82.811	136	"12N"
"283"	"yHRWh39"	58.356	136	"12N"
"284"	"yHRWh39"	71.037	136	"12N"
"285"	"yHRWh39"	72.719	136	"12N"
"286"	"yHRWh39"	52.275	136	"12N"
"287"	"yHRWh39"	59.78	136	"12N"
"288"	"yHRWh39"	96.915	136	"12N"
"289"	"yHRWh39"	49.428	136	"12N"
"290"	"yHRWh39"	145.567	136	"12N"
"291"	"yHRWh39"	108.043	136	"12N"
"292"	"yHRWh39"	54.604	136	"12N"
"293"	"yHRWh39"	62.756	136	"12N"
"294"	"yHRWh39"	143.497	136	"12N"
"295"	"yHRWh39"	81.647	136	"12N"
"296"	"yHRWh39"	64.179	136	"12N"
"297"	"yHRWh39"	56.286	136	"12N"
"298"	"yHRWh39"	65.214	136	"12N"
"299"	"yHRWh39"	52.534	136	"12N"
"300"	"yHRWh39"	52.404	136	"12N"
"301"	"yHRWh39"	48.522	136	"12N"
"302"	"yHRWh39"	50.851	136	"12N"
"303"	"yHRWh39"	57.45	136	"12N"
"304"	"yHRWh39"	48.652	136	"12N"
"305"	"yHRWh39"	58.486	136	"12N"
"306"	"yHRWh39"	49.428	136	"12N"
"307"	"yHRWh39"	64.826	136	"12N"
"308"	"yHRWh39"	42.829	136	"12N"
"309"	"yHRWh39"	30.537	136	"12N"
"310"	"yHRWh39"	25.49	136	"12N"
"311"	"yHRWh39"	NA	136	"12N"
"312"	"yHRWh39"	NA	136	"12N"
"313"	"yHRWh4"	71.684	42	"4N"
"314"	"yHRWh4"	50.075	42	"4N"
"315"	"yHRWh4"	41.147	42	"4N"
"316"	"yHRWh4"	68.449	42	"4N"
"317"	"yHRWh4"	94.069	42	"4N"
"318"	"yHRWh4"	35.842	42	"4N"
"319"	"yHRWh4"	56.933	42	"4N"
"320"	"yHRWh4"	57.968	42	"4N"
"321"	"yHRWh4"	44.641	42	"4N"
"322"	"yHRWh4"	36.23	42	"4N"
"323"	"yHRWh4"	68.708	42	"4N"
"324"	"yHRWh4"	69.096	42	"4N"
"325"	"yHRWh4"	23.291	42	"4N"
"326"	"yHRWh4"	59.133	42	"4N"
"327"	"yHRWh4"	64.696	42	"4N"
"328"	"yHRWh4"	101.703	42	"4N"
"329"	"yHRWh4"	32.219	42	"4N"
"330"	"yHRWh4"	54.474	42	"4N"
"331"	"yHRWh4"	71.425	42	"4N"
"332"	"yHRWh4"	150.484	42	"4N"
"333"	"yHRWh4"	62.626	42	"4N"
"334"	"yHRWh4"	50.593	42	"4N"
"335"	"yHRWh4"	54.474	42	"4N"
"336"	"yHRWh4"	29.372	42	"4N"
"337"	"yHRWh4"	31.572	42	"4N"
"338"	"yHRWh4"	43.605	42	"4N"
"339"	"yHRWh4"	77.118	42	"4N"
"340"	"yHRWh4"	36.489	42	"4N"
"341"	"yHRWh4"	62.497	42	"4N"
"342"	"yHRWh4"	74.401	42	"4N"
"343"	"yHRWh4"	60.815	42	"4N"
"344"	"yHRWh4"	22.903	42	"4N"
"345"	"yHRWh4"	39.465	42	"4N"
"346"	"yHRWh4"	83.717	42	"4N"
"347"	"yHRWh4"	85.658	42	"4N"
"348"	"yHRWh4"	32.219	42	"4N"
"349"	"yHRWh4"	26.396	42	"4N"
"350"	"yHRWh4"	61.85	42	"4N"
"351"	"yHRWh4"	50.463	42	"4N"
"352"	"yHRWh4"	44.382	42	"4N"
"353"	"yHRWh4"	61.979	42	"4N"
"354"	"yHRWh4"	65.732	42	"4N"
"355"	"yHRWh4"	62.109	42	"4N"
"356"	"yHRWh4"	35.454	42	"4N"
"357"	"yHRWh4"	79.059	42	"4N"
"358"	"yHRWh4"	66.12	42	"4N"
"359"	"yHRWh4"	48.911	42	"4N"
"360"	"yHRWh4"	51.887	42	"4N"
"361"	"yHRWh4"	134.18	42	"4N"
"362"	"yHRWh4"	32.995	42	"4N"
"363"	"yHRWh4"	48.393	42	"4N"
"364"	"yHRWh4"	67.026	42	"4N"
"365"	"yHRWh4"	48.264	42	"4N"
"366"	"yHRWh4"	42.7	42	"4N"
"367"	"yHRWh4"	75.565	42	"4N"
"368"	"yHRWh4"	56.933	42	"4N"
"369"	"yHRWh4"	171.316	42	"4N"
"370"	"yHRWh4"	70.519	42	"4N"
"371"	"yHRWh4"	47.746	42	"4N"
"372"	"yHRWh4"	105.585	42	"4N"
"373"	"yHRWh4"	74.272	42	"4N"
"374"	"yHRWh4"	57.321	42	"4N"
"375"	"yHRWh4"	53.31	42	"4N"
"376"	"yHRWh4"	77.506	42	"4N"
"377"	"yHRWh4"	63.403	42	"4N"
"378"	"yHRWh4"	119.818	42	"4N"
"379"	"yHRWh4"	47.487	42	"4N"
"380"	"yHRWh4"	72.848	42	"4N"
"381"	"yHRWh4"	70.131	42	"4N"
"382"	"yHRWh4"	102.091	42	"4N"
"383"	"yHRWh4"	27.173	42	"4N"
"384"	"yHRWh4"	105.973	42	"4N"
"385"	"yHRWh4"	31.701	42	"4N"
"386"	"yHRWh4"	26.267	42	"4N"
"387"	"yHRWh4"	NA	42	"4N"
"388"	"yHRWh4"	NA	42	"4N"
"389"	"yHRWh4"	NA	42	"4N"
"390"	"yHRWh4"	NA	42	"4N"
"391"	"yHRWh56"	78.541	136	"12N"
"392"	"yHRWh56"	68.319	136	"12N"
"393"	"yHRWh56"	92.516	136	"12N"
"394"	"yHRWh56"	78.412	136	"12N"
"395"	"yHRWh56"	63.403	136	"12N"
"396"	"yHRWh56"	64.567	136	"12N"
"397"	"yHRWh56"	79.577	136	"12N"
"398"	"yHRWh56"	89.669	136	"12N"
"399"	"yHRWh56"	87.728	136	"12N"
"400"	"yHRWh56"	51.628	136	"12N"
"401"	"yHRWh56"	78.541	136	"12N"
"402"	"yHRWh56"	109.596	136	"12N"
"403"	"yHRWh56"	76.859	136	"12N"
"404"	"yHRWh56"	71.942	136	"12N"
"405"	"yHRWh56"	75.048	136	"12N"
"406"	"yHRWh56"	88.893	136	"12N"
"407"	"yHRWh56"	87.599	136	"12N"
"408"	"yHRWh56"	67.155	136	"12N"
"409"	"yHRWh56"	65.085	136	"12N"
"410"	"yHRWh56"	95.751	136	"12N"
"411"	"yHRWh56"	116.065	136	"12N"
"412"	"yHRWh56"	64.826	136	"12N"
"413"	"yHRWh56"	89.799	136	"12N"
"414"	"yHRWh56"	65.99	136	"12N"
"415"	"yHRWh56"	80.094	136	"12N"
"416"	"yHRWh56"	64.955	136	"12N"
"417"	"yHRWh56"	72.072	136	"12N"
"418"	"yHRWh56"	67.155	136	"12N"
"419"	"yHRWh56"	81.388	136	"12N"
"420"	"yHRWh56"	69.484	136	"12N"
"421"	"yHRWh56"	74.272	136	"12N"
"422"	"yHRWh56"	91.481	136	"12N"
"423"	"yHRWh56"	64.049	136	"12N"
"424"	"yHRWh56"	92.775	136	"12N"
"425"	"yHRWh56"	87.081	136	"12N"
"426"	"yHRWh56"	93.551	136	"12N"
"427"	"yHRWh56"	61.979	136	"12N"
"428"	"yHRWh56"	30.925	136	"12N"
"429"	"yHRWh56"	25.49	136	"12N"
"430"	"yHRWh56"	167.046	136	"12N"
"431"	"yHRWh56"	84.752	136	"12N"
